mid,aid
4207,21393
4208,1080890
4209,2880
4209,57884
4209,77365
4209,936106
4209,55612
4209,64060
4209,1127738
4209,1245925
4209,15221
4209,2678
4209,1046456
4209,25017
4209,1208920
4210,638
4210,5398
4210,11099
4210,15842
4210,5398
4210,638
4210,557
4211,23393
4211,20213
4212,6778
4212,47562
4212,35850
4212,35851
4212,3098
4212,6603
4212,24661
4212,31931
4212,15877
4212,10200
4212,9918
4213,35475
4213,8538
4213,70005
4213,35475
4213,3986
4213,4146
4213,56967
4213,20953
4213,4614
4213,64748
4213,31464
4213,1211074
4213,1342617
4213,958278
4213,11620
4213,1342618
4213,32280
4213,42281
4213,65402
4213,1342619
4213,1342620
4213,1342621
4213,1342622
4213,1342623
4213,16552
4213,1341854
4213,1070097
4213,1338831
4213,1342624
4213,1342625
4213,1342626
4213,1341858
4213,1342627
4213,69579
4213,62596
4213,75004
4213,1342628
4213,1342629
4213,1342630
4213,55441
4213,1398972
4213,1377133
4213,1402167
4213,1378203
4213,1421767
4214,67897
4214,9196
4214,15247
4214,69042
4214,56980
4214,68034
4214,68032
4214,56944
4214,153
4214,1161134
4214,67898
4215,18311
4215,69042
4216,26487
4217,5281
4217,5281
4217,5287
4217,313
4218,15858
4218,87386
4219,69801
4220,18392
4220,41139
4220,457
4220,21011
4220,14431
4220,21781
4220,41140
4220,7513
4220,41141
4221,67411
4222,90525
4222,90526
4222,90527
4223,1392145
4223,2352
4223,2352
4223,2358
4223,2358
4223,2352
4223,12754
4223,12755
4223,12756
4223,12757
4223,1729
4223,2596
4223,12758
4223,12759
4223,1325
4223,7786
4223,7203
4223,10789
4223,12760
4223,946
4223,12761
4223,12762
4223,10908
4223,1325211
4223,10788
4223,1334489
4223,29067
4223,1433005
4223,587804
4223,587804
4223,40754
4223,1402238
4223,1433008
4223,9819
4223,11272
4223,1425381
4223,1407858
4223,1395025
4223,10972
4223,1433021
4223,1378169
4223,1433038
4223,1433040
4223,1425483
4223,1335186
4223,1417826
4223,1433047
4223,1403638
4223,1433051
4223,1433052
4223,1406837
4223,1433055
4223,122274
4223,1332515
4223,1433059
4223,1415957
4223,1433063
4223,1411340
4223,1433066
4223,1377503
4223,1194062
4223,1304081
4223,1181554
4223,1179913
4223,1406786
4223,40789
4223,1332509
4223,1433071
4223,1324461
4223,1331979
4223,1400380
4223,1433073
4223,1211630
4223,1406791
4223,1429645
4223,1433079
4223,1411357
4223,40830
4224,10765
4224,1091
4224,57524
4224,67406
4224,58204
4225,42378
4225,42379
4225,42380
4225,42381
4225,42378
4225,42379
4225,42380
4225,42382
4225,42381
4225,42378
4225,42383
4225,42384
4225,3050
4225,42381
4225,42385
4226,525
4226,525
4226,527
4226,550
4226,551
4226,554
4226,558
4226,559
4226,560
4226,561
4226,562
4226,563
4227,95458
4228,58178
4228,67034
4228,18194
4228,18195
4228,2043
4228,70256
4228,4500
4228,69562
4228,4501
4228,2241
4229,7409
4229,980834
4229,81209
4230,1080888
4231,3417
4231,73837
4231,59187
4231,25939
4231,2162
4231,24190
4231,14139
4231,56907
4232,2294
4232,2294
4232,2294
4232,2294
4232,5911
4232,62598
4232,1307
4232,59839
4232,4500
4232,531
4232,53910
4232,62600
4232,2294
4232,3113
4233,50942
4233,47053
4233,25143
4233,1214
4233,1061
4233,66108
4233,50942
4234,19665
4234,20422
4234,9156
4234,20422
4234,19665
4234,19665
4234,26140
4234,1301
4234,19678
4234,26141
4234,26143
4234,26144
4234,26145
4234,26146
4234,1466988
4234,1407848
4234,43385
4234,474
4234,19680
4234,19679
4234,1458557
4234,1408358
4234,16343
4234,146706
4234,1466985
4234,1466984
4234,1334165
4234,1466983
4234,1015492
4234,1167205
4234,3996
4234,1466986
4234,1466987
4234,122274
4234,1338245
4235,223
4235,273
4235,275
4235,223
4235,276
4235,277
4235,223
4235,278
4235,279
4235,273
4235,1114886
4235,989004
4235,1114887
4235,1114888
4235,69871
4236,240362
4236,240363
4237,6817
4237,6817
4238,7256
4238,21022
4238,21023
4238,5322
4238,21024
4238,1760
4238,7230
4238,7231
4238,21026
4238,2507
4238,1362798
4238,2215
4238,5167
4238,53813
4238,11021
4238,2519
4238,1410327
4238,1417400
4238,957821
4238,1458993
4238,1479276
4238,1479277
4238,1479278
4238,1479279
4238,1479280
4238,46785
4238,1384398
4239,34849
4239,34851
4239,818
4239,11151
4239,4767
4239,34849
4239,34848
4239,2947
4239,5724
4239,34854
4239,18689
4239,34856
4239,34857
4239,5912
4239,313
4239,32796
4239,2952
4239,34858
4239,34859
4239,34851
4239,406204
4240,64909
4240,28781
4240,64909
4240,11505
4240,60
4240,58015
4240,6050
4240,11098
4240,45862
4240,5328
4240,3192
4240,4023
4240,1113
4241,65428
4241,65429
4241,65429
4241,65430
4242,78992
4242,78993
4242,1408850
4242,1462378
4242,47203
4242,10725
4242,16363
4242,78993
4242,17255
4242,1462380
4242,62956
4242,33193
4242,5333
4242,1330905
4242,1462381
4243,114925
4243,114925
4244,1020732
4245,171866
4245,554255
4245,554256
4245,554257
4245,554258
4245,554259
4245,554260
4245,554261
4245,171866
4245,554270
4245,17048
4246,9148
4246,5489
4246,9149
4246,9150
4246,9151
4246,9152
4246,9153
4246,9154
4246,7262
4246,9155
4246,9155
4246,9155
4246,9156
4246,7018
4246,2236
4246,2238
4246,9157
4246,9158
4246,9159
4246,9160
4246,9161
4246,9162
4246,9006
4247,60950
4247,66070
4247,26714
4247,33283
4247,29015
4247,66960
4247,66563
4248,13615
4248,13614
4248,13614
4248,13615
4249,38581
4249,1105824
4249,1105825
4249,1105824
4249,1105831
4249,1105827
4249,1105827
4249,1105827
4249,1105827
4249,1105824
4249,1105824
4250,65620
4250,57901
4250,6890
4250,56032
4250,1141738
4250,1026352
4250,12235
4250,58705
4250,11072
4250,166469
4250,166469
4251,37618
4251,68353
4251,68354
4251,37618
4251,68355
4251,60404
4251,68356
4251,68357
4251,37618
4251,37618
4252,120229
4252,28672
4253,3266
4254,18254
4254,57147
4254,57151
4254,57147
4254,57153
4254,57154
4254,57156
4254,57157
4254,57159
4254,57160
4254,7728
4254,57161
4254,57162
4254,57164
4255,15427
4255,33830
4255,62707
4255,13585
4255,36423
4255,36423
4255,80341
4255,11957
4255,73501
4255,39032
4255,6114
4255,80341
4255,376
4255,7478
4255,7413
4255,1457482
4255,1457480
4255,1197285
4255,1182909
4255,1416054
4255,957821
4255,1401604
4255,1397300
4256,39819
4256,39819
4256,16860
4257,1046564
4257,1046565
4257,1046566
4257,1046568
4257,1046569
4257,1046570
4257,1046571
4257,1046572
4258,83224
4259,13496
4261,136292
4262,1150
4262,1151
4262,1153
4262,1154
4262,1155
4262,1156
4262,1157
4262,57652
4262,1152
4262,852
4262,23702
4262,958383
